API_CID,Excipient_CID,Outcome1,API,Excipient
196,24434,1,C(CCC(=O)O)CC(=O)O,[N+](=O)([O-])[O-].[K+]
196,516875,1,C(CCC(=O)O)CC(=O)O,[O-][Mn](=O)(=O)=O.[K+]
196,24823,1,C(CCC(=O)O)CC(=O)O,[O-][O+]=O
196,14793,1,C(CCC(=O)O)CC(=O)O,O=[Pb]=O
243,14798,1,C1=CC=C(C=C1)C(=O)O,[OH-].[Na+]
243,56841936,1,C1=CC=C(C=C1)C(=O)O,O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O
244,516875,1,C1=CC=C(C=C1)CO,[O-][Mn](=O)(=O)=O.[K+]
244,24823,1,C1=CC=C(C=C1)CO,[O-][O+]=O
244,51063134,1,C1=CC=C(C=C1)CO,COCC1[C@H](C(C(C(O1)OC)OC)OC)O[C@H]2C(C(C(C(O2)COC)OC)OC)OC
244,1118,1,C1=CC=C(C=C1)CO,OS(=O)(=O)O
305,2723872,1,C[N+](C)(C)CCO,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
305,1183,1,C[N+](C)(C)CCO,COC1=C(C=CC(=C1)C=O)O
342,2726,1,CC1=CC(=CC=C1)O,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
753,516875,1,C(C(CO)O)O,[O-][Mn](=O)(=O)=O.[K+]
753,6426889,1,C(C(CO)O)O,[O-]Cl(=O)=O.[K+]
753,14915,1,C(C(CO)O)O,O=[Cr](=O)=O
1103,751,1,C(CCNCCCN)CNCCCN,C(C(C=O)O)O
1732,5284359,1,CC1=C(C=CC(=C1)O)Cl,[Cl-].[Cl-].[Ca+2]
1732,9844225,1,CC1=C(C=CC(=C1)O)Cl,CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C.Cl
1732,5359227,1,CC1=C(C=CC(=C1)O)Cl,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O
1732,4680,1,CC1=C(C=CC(=C1)O)Cl,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
1732,91558,1,CC1=C(C=CC(=C1)O)Cl,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.Cl
